weekly_label,avg_mood_score,mood_variability,journal_negative_ratio,quickcheckin_avg,low_signal_rate,stress_mean,energy_mean,recovery_score
Needs Support,2.439,0.484,0.578,2.237,0.575,3.918,1.925,0.428
Needs Support,2.675,0.772,0.722,2.447,0.615,3.634,1.856,0.343
Needs Support,2.743,0.701,0.661,2.521,0.55,4.196,2.651,0.377
Needs Support,2.516,0.54,0.611,2.489,0.583,4.337,1.973,0.316
Needs Support,2.011,0.768,0.652,2.376,0.562,3.776,2.065,0.313
Needs Support,2.163,0.617,0.668,2.571,0.454,4.306,2.281,0.384
Needs Support,2.468,0.766,0.727,2.491,0.411,3.66,2.121,0.427
Needs Support,2.642,0.49,0.561,2.681,0.457,4.191,2.571,0.409
Needs Support,2.686,0.768,0.645,2.196,0.661,3.793,1.909,0.399
Needs Support,2.689,0.605,0.704,2.815,0.594,3.801,2.384,0.287
Needs Support,2.341,0.751,0.557,2.349,0.453,4.112,1.873,0.346
Needs Support,2.101,0.46,0.575,2.567,0.632,3.616,2.192,0.317
Needs Support,1.974,0.478,0.543,2.903,0.65,4.292,2.084,0.381
Needs Support,2.42,0.453,0.64,2.485,0.703,4.072,2.343,0.222
Needs Support,2.558,0.604,0.669,2.599,0.707,4.151,2.483,0.388
Needs Support,2.649,0.484,0.482,2.421,0.443,3.662,2.353,0.4
Needs Support,2.034,0.696,0.49,2.164,0.411,4.173,2.414,0.443
Needs Support,2.559,0.551,0.496,2.689,0.661,4.084,2.004,0.403
Needs Support,2.459,0.664,0.493,2.126,0.503,3.841,2.445,0.43
Needs Support,2.128,0.663,0.552,2.485,0.393,3.886,2.742,0.394
Needs Support,2.745,0.605,0.574,2.422,0.489,3.952,2.683,0.29
Needs Support,2.338,0.731,0.552,2.339,0.488,3.705,1.859,0.238
Needs Support,2.668,0.483,0.642,2.66,0.646,4.163,2.541,0.238
Needs Support,2.104,0.55,0.607,2.114,0.691,3.733,2.705,0.449
Needs Support,2.611,0.749,0.479,2.217,0.652,4.307,2.561,0.388
Needs Support,2.07,0.51,0.538,2.355,0.43,3.92,2.644,0.372
Needs Support,1.954,0.737,0.511,2.478,0.674,3.956,2.611,0.429
Needs Support,2.336,0.521,0.496,2.436,0.486,4.297,1.879,0.378
Needs Support,2.42,0.764,0.751,2.719,0.653,3.886,2.49,0.353
Needs Support,1.987,0.723,0.674,2.257,0.514,3.745,2.418,0.448
Needs Support,2.111,0.565,0.528,2.526,0.453,3.647,2.595,0.379
Needs Support,2.298,0.58,0.598,2.943,0.673,4.03,2.275,0.481
Needs Support,2.343,0.567,0.582,2.112,0.428,4.092,2.049,0.228
Needs Support,2.619,0.452,0.7,2.418,0.671,4.053,2.49,0.257
Needs Support,2.553,0.532,0.516,2.094,0.643,3.934,2.393,0.436
Needs Support,2.53,0.641,0.766,2.153,0.467,3.777,2.366,0.361
Needs Support,1.961,0.638,0.623,2.926,0.59,4.395,1.871,0.474
Needs Support,2.719,0.525,0.702,2.672,0.666,4.063,2.372,0.344
Needs Support,2.794,0.507,0.595,2.463,0.614,3.81,2.225,0.409
Needs Support,2.366,0.625,0.747,2.453,0.703,4.091,2.626,0.423
Needs Support,2.03,0.601,0.521,2.936,0.646,4.391,2.37,0.22
Needs Support,2.358,0.676,0.532,2.759,0.462,3.794,1.87,0.37
Needs Support,2.8,0.642,0.578,2.212,0.663,3.936,2.593,0.288
Needs Support,2.648,0.611,0.624,2.081,0.422,3.947,2.437,0.229
Needs Support,2.808,0.706,0.624,2.332,0.616,3.8,2.317,0.224
Needs Support,2.109,0.733,0.491,2.371,0.406,4.386,2.011,0.233
Needs Support,2.841,0.421,0.736,2.497,0.642,3.815,2.152,0.215
Needs Support,1.999,0.616,0.499,2.752,0.688,4.382,2.347,0.453
Needs Support,2.784,0.533,0.766,2.299,0.397,3.967,2.707,0.449
Needs Support,2.769,0.737,0.656,2.755,0.494,4.089,1.879,0.241
Needs Support,2.233,0.712,0.644,2.744,0.548,4.245,2.17,0.479
Needs Support,2.451,0.734,0.549,2.269,0.679,3.891,2.224,0.4
Needs Support,2.28,0.525,0.664,2.535,0.545,3.865,2.522,0.282
Needs Support,2.168,0.665,0.723,2.787,0.654,4.259,2.602,0.274
Needs Support,2.662,0.533,0.656,2.274,0.598,3.924,2.475,0.481
Needs Support,2.695,0.744,0.523,2.18,0.685,3.961,2.316,0.457
Needs Support,2.08,0.724,0.724,2.074,0.689,4.305,2.617,0.484
Needs Support,2.26,0.617,0.481,2.612,0.7,3.863,2.306,0.436
Needs Support,2.1,0.423,0.488,2.056,0.45,4.21,2.51,0.235
Needs Support,2.135,0.492,0.534,2.814,0.503,3.954,2.169,0.46
Needs Support,2.618,0.678,0.705,2.267,0.676,3.782,2.388,0.353
Needs Support,2.653,0.556,0.646,2.848,0.465,3.932,2.485,0.298
Needs Support,2.777,0.604,0.734,2.931,0.63,4.156,2.623,0.469
Needs Support,2.472,0.449,0.715,2.543,0.665,4.125,2.565,0.24
Needs Support,2.514,0.648,0.493,2.544,0.415,4.221,2.306,0.35
Needs Support,2.293,0.521,0.718,2.374,0.6,4.025,2.659,0.248
Needs Support,2.21,0.508,0.519,2.834,0.603,4.393,2.471,0.406
Needs Support,2.515,0.611,0.616,2.653,0.483,4.132,1.963,0.315
Needs Support,2.674,0.715,0.605,2.134,0.704,4.229,2.327,0.251
Needs Support,2.178,0.446,0.484,2.082,0.547,4.333,2.142,0.214
Needs Support,1.982,0.49,0.529,2.552,0.701,3.975,1.857,0.441
Needs Support,1.988,0.596,0.647,2.098,0.63,3.769,1.954,0.449
Needs Support,2.287,0.753,0.754,2.302,0.435,3.614,2.161,0.397
Needs Support,2.038,0.586,0.672,2.89,0.419,3.883,1.959,0.41
Needs Support,2.215,0.531,0.628,2.488,0.65,4.333,2.073,0.448
Needs Support,2.264,0.742,0.657,2.516,0.543,4.327,2.431,0.226
Needs Support,2.074,0.658,0.531,2.204,0.626,4.239,2.264,0.393
Needs Support,2.365,0.674,0.486,2.257,0.489,4.19,2.318,0.382
Needs Support,2.007,0.669,0.672,2.779,0.545,4.099,2.267,0.477
Needs Support,2.099,0.521,0.595,2.071,0.66,3.69,2.694,0.28
Needs Support,1.97,0.512,0.673,2.901,0.393,3.842,1.976,0.252
Needs Support,2.243,0.712,0.715,2.65,0.617,3.996,2.593,0.29
Needs Support,2.431,0.681,0.636,2.225,0.636,4.391,2.116,0.272
Needs Support,2.367,0.533,0.561,2.277,0.683,3.734,2.471,0.256
Needs Support,2.455,0.71,0.536,2.108,0.655,4.011,2.151,0.43
Needs Support,2.547,0.652,0.664,2.705,0.705,4.055,2.023,0.449
Needs Support,2.129,0.593,0.765,2.784,0.475,4.267,2.073,0.294
Needs Support,2.827,0.498,0.559,2.316,0.454,4.249,2.738,0.378
Needs Support,2.521,0.454,0.563,2.905,0.468,3.95,2.502,0.227
Needs Support,2.366,0.748,0.501,2.196,0.587,4.223,2.396,0.434
Needs Support,1.957,0.557,0.581,2.799,0.671,4.162,2.147,0.337
Needs Support,2.437,0.538,0.7,2.316,0.697,3.911,2.077,0.358
Needs Support,1.991,0.756,0.516,2.776,0.664,4.116,2.153,0.319
Needs Support,2.221,0.562,0.686,2.399,0.602,3.804,2.527,0.36
Needs Support,2.327,0.722,0.617,2.386,0.577,4.058,1.863,0.214
Needs Support,2.679,0.53,0.553,2.294,0.643,4.093,2.417,0.387
Needs Support,2.699,0.475,0.672,2.277,0.591,3.63,2.492,0.215
Needs Support,2.318,0.566,0.627,2.39,0.656,3.953,2.556,0.333
Needs Support,1.998,0.617,0.642,2.763,0.56,4.23,1.994,0.273
Needs Support,2.501,0.573,0.525,2.249,0.595,4.349,2.465,0.241
Needs Support,2.185,0.48,0.532,2.855,0.507,3.623,2.166,0.221
Needs Support,2.213,0.444,0.586,2.703,0.707,3.626,2.334,0.368
Needs Support,2.799,0.594,0.542,2.327,0.573,4.24,2.11,0.322
Needs Support,2.473,0.681,0.748,2.763,0.474,4.041,2.721,0.371
Needs Support,2.039,0.734,0.644,2.413,0.521,3.609,2.03,0.263
Needs Support,2.046,0.488,0.507,2.733,0.458,3.956,2.293,0.433
Needs Support,2.602,0.647,0.629,2.751,0.435,4.353,2.424,0.488
Needs Support,2.609,0.63,0.755,2.852,0.449,4.108,2.564,0.356
Needs Support,2.108,0.574,0.727,2.415,0.605,3.86,2.676,0.276
Needs Support,2.726,0.534,0.529,2.525,0.637,3.805,2.642,0.261
Needs Support,2.555,0.676,0.611,2.167,0.551,3.635,2.642,0.305
Needs Support,2.462,0.533,0.534,2.302,0.437,3.754,2.488,0.378
Needs Support,2.769,0.449,0.73,2.091,0.534,3.739,1.91,0.286
Needs Support,2.37,0.539,0.572,2.4,0.5,4.249,2.069,0.32
Needs Support,2.752,0.652,0.628,2.606,0.558,3.75,1.96,0.319
Needs Support,2.156,0.663,0.72,2.188,0.555,4.015,2.286,0.452
Needs Support,2.213,0.652,0.497,2.476,0.517,3.962,2.476,0.443
Needs Support,2.607,0.76,0.732,2.132,0.63,4.154,2.068,0.296
Needs Support,2.249,0.565,0.674,2.755,0.463,4.194,2.482,0.288
Needs Support,2.59,0.625,0.644,2.781,0.543,4.187,2.234,0.4
Needs Support,2.677,0.719,0.498,2.383,0.457,4.392,2.443,0.315
Needs Support,2.102,0.457,0.644,2.178,0.695,3.899,2.198,0.389
Needs Support,2.626,0.556,0.638,2.946,0.408,4.007,2.411,0.408
Needs Support,2.366,0.703,0.475,2.088,0.662,4.072,2.592,0.238
Needs Support,1.998,0.669,0.553,2.947,0.546,3.937,2.559,0.215
Needs Support,2.086,0.777,0.719,2.945,0.557,4.268,1.876,0.331
Needs Support,2.102,0.556,0.594,2.558,0.583,3.621,2.562,0.37
Needs Support,2.431,0.472,0.701,2.058,0.558,3.836,1.917,0.402
Needs Support,2.62,0.435,0.736,2.634,0.454,4.343,2.008,0.471
Needs Support,2.491,0.687,0.542,2.322,0.53,4.379,1.978,0.216
Needs Support,2.625,0.438,0.548,2.171,0.502,4.377,1.999,0.287
Needs Support,2.396,0.585,0.756,2.446,0.66,3.762,2.526,0.381
Needs Support,2.788,0.542,0.484,2.84,0.543,4.135,2.562,0.438
Needs Support,2.09,0.706,0.631,2.116,0.563,3.679,2.69,0.253
Needs Support,2.512,0.711,0.718,2.206,0.694,4.045,2.505,0.44
Needs Support,2.074,0.676,0.711,2.194,0.391,4.118,2.273,0.321
Needs Support,2.4,0.464,0.591,2.801,0.472,4.213,2.187,0.396
Needs Support,2.413,0.688,0.554,2.104,0.589,4.374,2.262,0.466
Needs Support,2.181,0.628,0.746,2.557,0.708,3.686,2.627,0.463
Needs Support,2.436,0.608,0.672,2.251,0.672,3.686,1.863,0.344
Needs Support,2.157,0.434,0.505,2.328,0.512,3.607,2.271,0.267
Needs Support,2.544,0.728,0.565,2.341,0.676,4.172,2.301,0.26
Needs Support,2.18,0.458,0.613,2.592,0.504,4.248,1.959,0.36
Needs Support,2.738,0.737,0.57,2.787,0.69,3.631,2.496,0.448
Needs Support,2.191,0.692,0.68,2.411,0.688,4.344,2.66,0.381
Needs Support,2.535,0.741,0.694,2.483,0.394,3.655,2.282,0.343
Needs Support,1.996,0.57,0.616,2.764,0.421,3.976,2.294,0.486
Needs Support,2.083,0.548,0.743,2.13,0.407,4.056,2.627,0.474
Needs Support,2.299,0.58,0.584,2.297,0.646,4.214,2.064,0.238
Needs Support,2.279,0.548,0.605,2.439,0.678,3.725,1.891,0.239
Needs Support,2.335,0.426,0.762,2.385,0.697,4.08,2.625,0.452
Needs Support,2.035,0.476,0.718,2.5,0.62,3.81,2.207,0.221
Needs Support,2.187,0.465,0.715,2.399,0.584,4.19,2.116,0.425
Needs Support,2.026,0.597,0.504,2.853,0.468,4.375,1.973,0.486
Needs Support,2.224,0.757,0.515,2.606,0.628,3.613,2.524,0.404
Needs Support,2.267,0.494,0.72,2.354,0.598,3.656,2.517,0.3
Needs Support,2.134,0.67,0.56,2.802,0.599,3.824,2.463,0.488
Needs Support,2.071,0.582,0.576,2.08,0.434,4.062,1.971,0.483
Needs Support,2.181,0.588,0.473,2.142,0.487,4.319,2.537,0.442
Needs Support,2.684,0.705,0.76,2.072,0.393,4.076,2.52,0.305
Needs Support,2.775,0.514,0.641,2.461,0.447,4.227,2.623,0.451
Needs Support,2.641,0.464,0.727,2.757,0.493,3.647,2.512,0.221
Needs Support,2.706,0.689,0.744,2.106,0.688,4.104,2.239,0.33
Needs Support,1.971,0.476,0.552,2.764,0.665,3.9,2.308,0.319
Needs Support,2.203,0.426,0.517,2.759,0.422,4.186,2.555,0.485
Needs Support,2.567,0.748,0.638,2.74,0.446,3.934,2.491,0.312
Needs Support,2.089,0.548,0.709,2.173,0.516,4.396,2.499,0.434
Needs Support,2.81,0.5,0.561,2.134,0.519,4.309,2.684,0.392
Needs Support,2.417,0.63,0.562,2.245,0.506,3.709,2.147,0.39
Needs Support,2.55,0.432,0.769,2.389,0.422,4.166,2.572,0.246
Needs Support,2.652,0.694,0.735,2.36,0.602,4.269,2.237,0.31
Needs Support,2.709,0.568,0.765,2.508,0.599,4.065,2.038,0.249
Needs Support,2.669,0.707,0.759,2.385,0.705,3.608,1.971,0.386
Needs Support,2.051,0.562,0.616,2.269,0.691,3.833,2.2,0.348
Needs Support,2.776,0.45,0.755,2.429,0.695,3.722,1.879,0.359
Needs Support,2.016,0.451,0.506,2.13,0.427,4.33,2.097,0.296
Needs Support,2.728,0.47,0.628,2.754,0.428,4.365,1.886,0.45
Needs Support,2.174,0.503,0.649,2.602,0.664,3.639,2.003,0.392
Needs Support,2.381,0.569,0.488,2.24,0.682,3.796,1.931,0.338
Needs Support,2.627,0.519,0.692,2.126,0.463,4.256,2.19,0.225
Needs Support,2.801,0.557,0.616,2.684,0.43,3.655,1.922,0.462
Needs Support,2.376,0.497,0.768,2.349,0.528,3.78,2.05,0.337
Needs Support,2.077,0.69,0.569,2.867,0.446,4.125,2.235,0.309
Needs Support,1.956,0.737,0.495,2.342,0.394,3.625,1.852,0.419
Needs Support,2.321,0.476,0.708,2.065,0.539,3.713,2.006,0.413
Needs Support,2.064,0.685,0.77,2.059,0.588,4.11,1.97,0.339
Needs Support,2.179,0.659,0.615,2.683,0.465,3.899,2.098,0.447
Needs Support,2.755,0.632,0.717,2.574,0.47,3.601,2.355,0.442
Needs Support,2.37,0.649,0.668,2.432,0.567,4.389,2.163,0.471
Needs Support,1.968,0.737,0.559,2.288,0.403,3.618,2.098,0.257
Needs Support,2.078,0.541,0.582,2.267,0.496,4.309,2.076,0.303
Needs Support,2.718,0.478,0.654,2.388,0.465,3.951,2.228,0.293
Needs Support,2.077,0.5,0.553,2.655,0.547,4.209,2.359,0.243
Needs Support,2.634,0.665,0.501,2.722,0.485,3.763,2.385,0.393
Needs Support,2.69,0.703,0.725,2.306,0.458,4.249,2.709,0.27
Needs Support,2.41,0.536,0.698,2.186,0.451,3.674,2.25,0.341
Needs Support,2.194,0.78,0.642,2.06,0.594,4.364,2.732,0.324
Needs Support,1.965,0.705,0.663,2.11,0.625,4.233,2.274,0.315
Needs Support,2.175,0.53,0.511,2.226,0.425,3.664,2.586,0.33
Needs Support,2.533,0.626,0.638,2.838,0.654,4.188,2.603,0.428
Needs Support,2.035,0.552,0.574,2.171,0.524,4.08,2.524,0.342
Needs Support,2.38,0.691,0.729,2.513,0.475,3.72,1.918,0.229
Needs Support,2.361,0.552,0.674,2.575,0.461,3.946,2.122,0.48
Needs Support,2.388,0.558,0.517,2.845,0.509,3.645,1.903,0.438
Needs Support,2.05,0.441,0.483,2.061,0.651,3.737,2.035,0.31
Needs Support,2.039,0.64,0.721,2.885,0.462,3.976,2.293,0.327
Needs Support,2.167,0.441,0.608,2.846,0.604,3.916,2.026,0.351
Needs Support,2.442,0.627,0.51,2.373,0.481,4.215,2.344,0.224
Needs Support,2.111,0.713,0.493,2.271,0.704,4.182,2.47,0.276
Needs Support,2.34,0.554,0.613,2.462,0.447,4.337,2.623,0.237
Needs Support,2.392,0.724,0.743,2.719,0.557,4.163,2.336,0.389
Needs Support,2.765,0.595,0.769,2.493,0.575,3.651,2.727,0.474
Needs Support,2.116,0.724,0.703,2.65,0.676,4.056,2.732,0.4
Needs Support,2.59,0.713,0.544,2.798,0.427,4.25,2.438,0.423
Needs Support,1.988,0.709,0.608,2.289,0.703,4.107,2.747,0.378
Needs Support,2.73,0.645,0.558,2.097,0.692,4.111,2.565,0.231
Needs Support,2.612,0.736,0.7,2.512,0.547,3.763,2.435,0.461
Needs Support,2.281,0.467,0.539,2.885,0.488,3.891,2.643,0.29
Needs Support,2.52,0.756,0.745,2.166,0.521,3.641,2.325,0.436
Needs Support,2.844,0.768,0.703,2.688,0.404,4.098,2.576,0.398
Needs Support,2.045,0.734,0.746,2.176,0.442,4.022,1.918,0.438
Needs Support,2.691,0.466,0.625,2.131,0.561,3.71,2.407,0.376
Needs Support,2.376,0.667,0.606,2.405,0.572,3.835,2.642,0.426
Needs Support,2.415,0.612,0.591,2.333,0.461,3.979,1.95,0.288
Needs Support,2.048,0.668,0.623,2.926,0.57,3.861,2.18,0.277
Needs Support,2.576,0.553,0.687,2.878,0.7,3.791,2.111,0.282
Needs Support,2.415,0.644,0.67,2.254,0.459,4.224,2.331,0.456
Needs Support,2.192,0.452,0.592,2.492,0.481,4.358,2.554,0.333
Needs Support,2.33,0.437,0.607,2.447,0.539,3.816,1.961,0.416
Needs Support,2.681,0.482,0.612,2.197,0.473,4.072,1.92,0.366
Needs Support,2.292,0.711,0.768,2.504,0.667,3.798,2.608,0.441
Needs Support,2.219,0.71,0.608,2.917,0.544,4.086,2.457,0.399
Needs Support,2.207,0.44,0.64,2.803,0.433,4.281,2.618,0.426
Needs Support,2.257,0.515,0.5,2.454,0.671,4.301,2.235,0.415
Needs Support,2.606,0.698,0.731,2.174,0.49,4.289,1.905,0.378
Needs Support,2.386,0.442,0.476,2.291,0.444,3.819,2.39,0.49
Needs Support,2.475,0.58,0.636,2.341,0.618,4.206,1.945,0.308
Needs Support,2.294,0.467,0.575,2.257,0.614,3.773,2.697,0.233
Needs Support,2.472,0.449,0.557,2.917,0.475,3.985,2.587,0.32
Needs Support,2.413,0.637,0.512,2.086,0.491,4.257,2.428,0.257
Needs Support,2.768,0.474,0.481,2.524,0.467,3.774,2.704,0.266
Needs Support,2.65,0.664,0.521,2.649,0.622,4.34,2.158,0.489
Needs Support,2.528,0.561,0.698,2.572,0.694,4.014,2.046,0.444
Needs Support,2.288,0.567,0.708,2.193,0.446,3.88,2.551,0.412
Needs Support,2.777,0.672,0.551,2.522,0.627,3.965,2.562,0.453
Needs Support,2.569,0.648,0.631,2.315,0.693,3.693,1.927,0.222
Needs Support,2.52,0.755,0.711,2.345,0.694,4.099,2.176,0.425
Needs Support,2.609,0.716,0.517,2.484,0.401,4.102,2.515,0.483
Needs Support,2.84,0.732,0.471,2.096,0.619,4.339,2.661,0.312
Needs Support,2.353,0.685,0.614,2.56,0.599,3.691,2.339,0.374
Needs Support,2.075,0.477,0.62,2.181,0.435,3.86,2.28,0.373
Needs Support,2.114,0.665,0.714,2.48,0.592,3.992,1.891,0.48
Needs Support,2.205,0.435,0.597,2.526,0.548,3.623,2.551,0.274
Needs Support,2.243,0.685,0.733,2.854,0.433,4.369,2.132,0.258
Needs Support,2.223,0.765,0.5,2.935,0.695,3.972,2.462,0.398
Needs Support,2.755,0.632,0.685,2.783,0.524,4.254,2.142,0.406
Needs Support,2.111,0.425,0.631,2.14,0.421,4.109,1.955,0.43
Needs Support,2.649,0.466,0.585,2.174,0.504,4.095,1.95,0.267
Needs Support,1.997,0.78,0.514,2.107,0.441,3.757,2.118,0.221
Needs Support,2.547,0.444,0.654,2.084,0.65,4.15,2.077,0.356
Needs Support,2.146,0.425,0.565,2.462,0.67,3.652,1.919,0.48
Needs Support,2.154,0.757,0.536,2.549,0.425,4.064,2.671,0.452
Needs Support,2.649,0.613,0.714,2.525,0.448,3.614,2.665,0.36
Needs Support,2.843,0.571,0.703,2.281,0.459,3.848,2.233,0.393
Needs Support,2.73,0.598,0.685,2.719,0.684,4.193,2.127,0.317
Needs Support,2.751,0.617,0.516,2.296,0.511,4.036,2.036,0.473
Needs Support,2.682,0.736,0.659,2.869,0.602,4.35,2.366,0.276
Needs Support,2.196,0.665,0.704,2.472,0.704,4.138,2.38,0.212
Needs Support,2.256,0.762,0.544,2.219,0.455,4.169,2.705,0.479
Needs Support,2.66,0.575,0.674,2.58,0.482,4.266,2.345,0.289
Needs Support,2.803,0.744,0.653,2.145,0.397,3.746,2.509,0.274
Needs Support,2.568,0.633,0.477,2.358,0.629,3.697,1.924,0.272
Needs Support,2.112,0.685,0.526,2.296,0.581,3.702,2.707,0.472
Needs Support,2.624,0.485,0.661,2.129,0.556,4.335,2.683,0.483
Needs Support,2.338,0.509,0.661,2.42,0.66,3.925,1.92,0.241
Needs Support,2.71,0.728,0.594,2.184,0.411,4.355,2.293,0.473
Needs Support,2.792,0.526,0.66,2.321,0.54,3.964,2.704,0.387
Needs Support,2.815,0.676,0.641,2.674,0.495,3.718,2.486,0.365
Needs Support,2.151,0.763,0.529,2.69,0.53,3.707,2.571,0.399
Needs Support,2.783,0.686,0.535,2.457,0.565,3.892,2.696,0.253
Needs Support,2.714,0.48,0.539,2.177,0.517,3.848,2.116,0.487
Needs Support,2.642,0.652,0.689,2.12,0.47,3.707,2.074,0.445
Needs Support,1.968,0.483,0.497,2.363,0.434,4.021,2.74,0.486
Needs Support,2.735,0.641,0.652,2.097,0.674,4.243,2.056,0.324
Needs Support,2.326,0.599,0.479,2.532,0.521,4.056,2.44,0.26
Needs Support,2.297,0.687,0.512,2.511,0.555,3.673,2.145,0.211
Needs Support,2.811,0.453,0.571,2.273,0.452,3.795,2.532,0.489
Needs Support,2.641,0.451,0.676,2.11,0.599,4.272,2.445,0.31
Needs Support,2.118,0.428,0.626,2.289,0.507,4.095,2.107,0.225
Needs Support,2.347,0.776,0.47,2.395,0.647,4.158,2.007,0.272
Needs Support,2.247,0.666,0.47,2.713,0.659,3.64,2.57,0.232
Needs Support,2.535,0.555,0.761,2.559,0.687,4.247,2.147,0.486
Needs Support,2.002,0.548,0.495,2.29,0.587,3.97,2.657,0.379
Needs Support,2.542,0.551,0.769,2.248,0.553,3.713,2.74,0.474
Needs Support,2.209,0.758,0.527,2.528,0.447,4.166,2.577,0.443
Needs Support,2.124,0.746,0.645,2.339,0.53,4.312,2.425,0.408
Needs Support,2.035,0.662,0.709,2.282,0.568,4.376,1.891,0.455
Needs Support,1.988,0.461,0.723,2.259,0.571,3.89,1.954,0.461
Needs Support,2.512,0.745,0.496,2.323,0.452,3.735,2.38,0.467
Needs Support,2.393,0.488,0.485,2.411,0.65,4.378,2.024,0.313
Needs Support,2.546,0.473,0.557,2.949,0.665,4.098,2.697,0.372
Needs Support,2.806,0.439,0.641,2.161,0.628,3.923,2.406,0.458
Needs Support,2.262,0.713,0.474,2.608,0.518,3.811,1.935,0.337
Needs Support,2.16,0.765,0.571,2.496,0.512,4.041,2.694,0.219
Needs Support,2.602,0.437,0.76,2.465,0.504,4.304,2.407,0.217
Needs Support,2.223,0.701,0.661,2.255,0.513,3.904,2.611,0.448
Needs Support,2.792,0.476,0.572,2.731,0.559,3.637,2.531,0.485
Needs Support,2.296,0.449,0.619,2.506,0.666,4.057,2.195,0.258
Needs Support,2.741,0.427,0.731,2.926,0.526,4.23,2.35,0.248
Needs Support,2.307,0.582,0.567,2.412,0.573,3.972,2.741,0.452
Needs Support,2.765,0.492,0.602,2.089,0.438,3.694,2.434,0.263
Needs Support,2.546,0.654,0.53,2.473,0.408,3.977,2.138,0.329
Needs Support,2.084,0.731,0.523,2.478,0.7,3.737,2.25,0.343
Needs Support,2.35,0.692,0.706,2.523,0.54,3.947,2.55,0.379
Needs Support,2.619,0.504,0.486,2.779,0.698,4.272,2.504,0.347
Needs Support,2.582,0.536,0.581,2.522,0.516,4.194,2.198,0.242
Needs Support,2.352,0.481,0.68,2.116,0.564,3.657,2.301,0.475
Needs Support,2.343,0.466,0.755,2.922,0.499,4.17,2.621,0.351
Needs Support,2.415,0.773,0.737,2.721,0.626,4.145,2.572,0.448
Needs Support,2.273,0.69,0.658,2.148,0.445,3.664,2.628,0.212
Needs Support,2.252,0.773,0.757,2.112,0.653,4.312,2.594,0.414
Needs Support,2.618,0.554,0.762,2.334,0.698,4.219,2.555,0.233
Needs Support,2.338,0.537,0.486,2.276,0.646,3.74,1.976,0.215
Needs Support,2.226,0.586,0.553,2.642,0.592,4.249,2.646,0.473
Needs Support,2.306,0.578,0.76,2.392,0.549,3.953,2.342,0.282
Needs Support,2.771,0.742,0.552,2.237,0.632,4.156,2.108,0.434
Needs Support,2.361,0.47,0.541,2.357,0.472,4.313,2.714,0.421
Needs Support,2.158,0.63,0.724,2.17,0.565,4.053,2.167,0.326
Needs Support,2.38,0.758,0.543,2.86,0.565,4.088,1.97,0.353
Needs Support,2.671,0.598,0.545,2.775,0.4,4.326,2.575,0.263
Needs Support,2.501,0.662,0.634,2.641,0.692,4.333,2.079,0.345
Needs Support,2.284,0.459,0.549,2.6,0.672,3.63,1.993,0.38
Needs Support,2.081,0.623,0.543,2.437,0.681,4.265,2.114,0.432
Needs Support,2.699,0.554,0.689,2.22,0.462,4.142,2.615,0.395
Needs Support,2.365,0.482,0.585,2.173,0.665,3.996,1.893,0.294
Needs Support,2.582,0.636,0.652,2.594,0.43,3.673,2.46,0.429
Needs Support,2.271,0.464,0.527,2.265,0.702,4.066,2.288,0.273
Needs Support,2.031,0.436,0.537,2.509,0.656,4.377,2.521,0.25
Needs Support,2.004,0.423,0.645,2.712,0.561,4.037,2.277,0.307
Needs Support,2.734,0.746,0.479,2.707,0.454,4.115,2.702,0.421
Needs Support,2.364,0.533,0.501,2.826,0.679,3.94,2.443,0.485
Needs Support,2.372,0.702,0.74,2.542,0.528,3.638,2.246,0.329
Needs Support,2.327,0.648,0.547,2.463,0.493,4.345,2.675,0.281
Needs Support,2.521,0.428,0.629,2.197,0.473,3.93,2.39,0.237
Needs Support,2.259,0.544,0.537,2.549,0.689,3.835,2.131,0.241
Needs Support,2.806,0.622,0.689,2.131,0.598,4.352,2.09,0.234
Needs Support,2.452,0.519,0.673,2.772,0.653,3.977,2.068,0.259
Needs Support,2.425,0.582,0.566,2.898,0.399,4.228,1.896,0.334
Needs Support,2.501,0.617,0.763,2.315,0.43,4.133,2.413,0.313
Needs Support,1.979,0.579,0.562,2.097,0.609,3.638,2.229,0.348
Needs Support,2.563,0.588,0.585,2.377,0.397,4.389,2.077,0.296
Needs Support,2.182,0.55,0.606,2.131,0.453,3.705,2.7,0.443
Needs Support,2.499,0.449,0.517,2.534,0.626,4.199,2.617,0.314
Needs Support,2.519,0.539,0.62,2.508,0.489,3.967,1.878,0.475
Needs Support,2.448,0.453,0.666,2.476,0.431,3.743,2.444,0.389
Needs Support,2.662,0.452,0.622,2.647,0.598,4.375,2.017,0.344
Needs Support,2.008,0.592,0.646,2.378,0.629,3.682,2.193,0.26
Needs Support,2.404,0.658,0.492,2.787,0.415,3.959,2.454,0.427
Needs Support,2.659,0.731,0.501,2.718,0.432,4.029,2.465,0.215
Needs Support,1.99,0.648,0.593,2.316,0.456,3.696,2.239,0.487
Needs Support,2.264,0.438,0.731,2.926,0.63,3.964,2.506,0.349
Needs Support,2.552,0.715,0.559,2.836,0.693,4.293,2.261,0.424
Needs Support,2.348,0.652,0.741,2.238,0.603,3.848,2.439,0.416
Needs Support,2.086,0.581,0.743,2.921,0.474,4.389,2.479,0.424
Needs Support,2.148,0.744,0.754,2.256,0.502,4.283,2.015,0.345
Needs Support,2.465,0.752,0.547,2.884,0.497,3.844,2.238,0.398
