avg_mood_score,mood_variability,journal_negative_ratio,stress_mean,anxiety_mean,support_mean,stress_index,emotional_stability,positivity_ratio,confidence_score
4.334,0.748,0.895,1.044,3.243,3.181,32,96,11,87
4.759,0.715,0.774,1.27,1.72,4.029,15,100,23,93
1.483,0.277,0.956,1.92,3.539,1.7,73,43,4,89
3.503,0.433,0.496,1.942,3.308,3.75,46,99,50,96
3.421,0.472,0.809,4.134,1.138,1.906,66,77,19,86
4.947,0.34,0.078,4.247,4.929,3.978,79,100,92,96
1.83,0.668,0.016,1.787,3.756,1.052,52,48,98,76
4.261,0.463,0.425,4.147,2.891,4.342,70,100,57,96
4.769,0.792,0.604,1.076,4.163,4.911,33,100,40,96
4.42,0.2,0.534,4.041,4.423,4.594,84,100,47,96
3.302,0.281,0.797,4.463,2.173,1.105,83,73,20,85
4.493,0.113,0.495,1.285,4.547,4.071,40,100,50,96
4.089,0.625,0.499,4.012,4.121,3.082,83,100,50,89
3.784,0.752,0.118,2.517,2.567,2.624,38,93,88,84
2.243,0.977,0.929,1.813,4.796,4.275,78,62,7,89
3.602,0.157,0.975,4.759,3.925,4.832,100,100,3,96
3.782,0.16,0.943,3.394,3.225,2.511,75,93,6,96
3.9,0.331,0.617,2.112,3.353,1.782,48,91,38,88
1.217,0.355,0.115,1.868,4.573,4.084,68,67,89,96
4.473,0.351,0.609,4.23,4.808,3.771,92,100,39,96
2.013,0.685,0.049,2.638,3.547,1.198,63,52,95,77
4.491,0.446,0.166,1.912,2.252,4.112,21,100,83,96
4.252,0.85,0.499,3.931,2.616,1.736,65,87,50,76
1.495,0.562,0.59,2.011,3.455,3.856,67,59,41,95
1.676,0.307,0.635,1.959,3.532,2.311,66,55,37,92
4.144,0.808,0.327,2.104,3.642,3.744,43,100,67,89
3.778,0.882,0.048,4.746,3.66,3.938,83,100,95,89
1.728,0.256,0.655,1.97,4.482,4.316,76,73,35,96
1.631,0.343,0.578,4.247,2.741,2.249,94,54,42,91
2.992,0.154,0.954,2.002,3.263,2.281,60,77,5,95
1.646,0.764,0.974,4.483,1.267,3.694,91,51,3,90
2.45,0.522,0.143,4.197,4.894,2.37,99,72,86,87
4.823,0.902,0.972,2.958,2.622,1.182,54,85,3,72
4.29,0.345,0.968,4.847,2.455,4.482,87,100,3,96
4.285,0.235,0.002,3.858,3.092,4.918,58,100,100,96
2.547,0.215,0.593,3.123,1.89,4.862,60,94,41,96
2.391,0.618,0.961,3.096,3.196,2.191,82,56,4,84
1.982,0.508,0.302,3.417,2.797,1.242,73,52,70,81
3.331,0.772,0.513,1.518,1.784,1.063,26,66,49,74
4.768,0.164,0.859,4.499,3.136,2.079,82,100,14,94
3.098,0.1,0.27,2.047,1.62,4.391,30,100,73,96
3.595,0.164,0.305,4.354,3.752,3.247,85,100,69,96
4.468,0.749,0.806,2.587,3.339,2.358,55,94,19,82
2.998,0.983,0.442,3.845,4.332,1.331,90,59,56,71
3.997,0.215,0.336,3.424,2.388,3.18,53,100,66,96
2.628,0.344,0.947,4.403,4.084,3.932,100,80,5,96
1.073,0.823,0.997,4.136,4.425,1.877,100,24,0,78
3.509,0.967,0.324,1.597,2.193,4.06,26,92,68,88
2.533,0.502,0.948,1.823,3.048,4.127,58,76,5,96
1.304,0.825,0.988,3.801,4.268,4.118,100,46,1,91
1.865,0.216,0.122,4.46,4.909,3.059,100,74,88,96
2.949,0.303,0.907,4.089,4.735,2.257,100,74,9,92
3.344,0.793,0.818,4.867,2.635,2.957,94,77,18,85
1.963,0.147,0.716,1.739,4.059,3.117,67,69,28,96
2.062,0.742,0.586,4.708,2.215,1.647,93,48,41,78
4.743,0.976,0.678,4.844,4.327,4.879,96,100,32,92
2.109,0.532,0.396,3.137,2.479,1.554,66,55,60,82
3.461,0.443,0.211,1.141,3.574,2.626,31,93,79,91
2.281,0.132,0.261,2.579,2.605,1.204,54,66,74,89
2.094,0.651,0.2,3.561,1.686,3.177,61,68,80,89
3.671,0.533,0.266,4.495,1.074,4.765,59,100,73,96
2.826,0.599,0.359,4.108,2.33,3.813,74,85,64,94
1.031,0.982,0.54,1.762,3.171,2.075,62,28,46,75
1.115,0.489,0.527,2.299,1.772,4.864,56,63,47,96
3.852,0.494,0.575,2.356,2.504,3.335,43,99,43,94
2.75,0.944,0.21,3.487,4.296,3.612,81,77,79,85
3.009,0.866,0.293,3.076,1.165,2.1,43,70,71,78
1.075,0.529,0.566,3.697,3.251,3.209,94,47,43,92
3.709,0.17,0.372,4.534,3.156,4.494,82,100,63,96
1.454,0.302,0.824,4.741,2.038,2.921,100,53,18,96
4.119,0.23,0.868,4.116,1.66,3.108,67,100,13,96
1.235,0.737,0.475,4.79,4.905,1.379,100,32,52,77
4.958,0.171,0.329,4.922,4.582,2.772,91,100,67,96
1.936,0.229,0.333,4.581,1.41,4.131,79,80,67,96
3.159,0.61,0.123,3.533,2.776,3.567,61,92,88,93
2.579,0.787,0.818,3.657,3.838,1.749,93,54,18,78
1.1,0.449,0.183,1.701,4.901,1.232,71,39,82,82
4.696,0.948,0.164,3.413,3.804,4.12,58,100,84,88
4.585,0.181,0.529,1.804,1.804,1.535,21,100,47,90
4.719,0.926,0.99,3.852,4.493,2.746,89,95,1,81
2.124,0.664,0.535,1.836,1.73,1.308,40,49,46,78
3.747,0.939,0.333,3.683,4.086,3.353,76,91,67,84
1.455,0.506,0.551,4.858,1.196,4.474,89,65,45,96
1.919,0.854,0.985,2.727,2.701,1.605,75,37,2,75
1.939,0.346,0.779,3.0,4.164,1.14,90,48,22,84
2.073,0.648,0.867,2.054,1.765,1.413,51,44,13,79
1.286,0.367,0.175,4.002,2.664,2.61,84,56,83,92
1.312,0.452,0.315,4.102,3.276,1.573,94,44,68,84
2.791,0.522,0.093,1.998,4.902,3.503,61,87,91,94
2.238,0.403,0.447,1.648,3.695,4.397,54,82,55,96
3.675,0.394,0.549,3.968,4.622,2.247,91,90,45,90
2.287,0.111,0.584,2.946,2.256,4.082,63,85,42,96
2.706,0.966,0.433,1.739,1.939,3.96,34,75,57,87
1.651,0.384,0.743,2.878,4.696,1.387,95,44,26,85
4.851,0.56,0.756,4.049,3.317,1.713,74,100,24,83
3.42,0.113,0.619,3.273,1.096,3.083,48,97,38,96
3.206,0.461,0.841,4.429,1.1,1.108,73,67,16,81
2.49,0.535,0.01,2.187,4.427,3.574,60,84,99,94
4.134,0.335,0.903,4.419,3.595,4.03,92,100,10,96
3.49,0.228,0.95,2.128,4.557,2.657,71,88,5,96
2.152,0.108,0.164,4.349,4.256,2.181,98,74,84,96
2.21,0.619,0.672,2.841,4.925,1.203,90,48,33,78
3.543,0.89,0.871,4.27,4.025,3.679,98,83,13,87
4.717,0.296,0.748,1.104,2.402,1.075,19,99,25,85
4.054,0.343,0.069,2.734,1.878,3.02,31,100,93,95
3.789,0.61,0.654,4.603,3.14,4.523,88,100,35,96
2.237,0.274,0.263,2.706,1.215,4.201,43,86,74,96
3.181,0.761,0.56,1.667,3.467,3.473,47,82,44,89
1.915,0.363,0.901,2.501,3.025,4.512,73,72,10,96
4.189,0.621,0.833,1.627,1.118,4.436,20,100,17,96
1.221,0.391,0.205,2.37,1.764,2.091,50,49,79,89
2.203,0.11,0.449,4.296,1.487,1.171,75,62,55,90
1.543,0.274,0.465,4.937,2.252,4.88,98,76,53,96
2.142,0.583,0.187,3.561,3.135,4.184,75,79,81,96
1.105,0.183,0.863,4.201,4.579,1.572,100,38,14,90
2.028,0.38,0.442,3.717,1.66,1.959,69,60,56,88
3.198,0.793,0.259,3.497,1.778,1.46,53,70,74,76
3.644,0.179,0.186,4.583,2.408,3.663,72,100,81,96
1.834,0.879,0.56,3.853,3.479,1.065,93,36,44,72
2.253,0.556,0.144,4.885,1.45,2.584,78,69,86,88
1.285,0.544,0.429,1.647,1.567,4.509,40,63,57,96
4.623,0.551,0.468,1.334,2.982,3.193,24,100,53,92
4.133,0.78,0.428,4.823,2.443,3.846,77,100,57,91
4.119,0.252,0.174,2.786,4.709,4.288,62,100,83,96
2.087,0.667,0.003,2.657,3.457,1.334,60,56,100,78
1.124,0.623,0.286,3.403,3.03,2.949,81,48,71,89
2.527,0.986,0.141,3.548,2.573,2.503,65,64,86,78
3.983,0.567,0.652,1.154,4.468,3.756,44,100,35,95
1.832,0.444,0.87,2.314,1.43,2.567,54,54,13,90
4.939,0.287,0.54,3.795,1.094,3.182,43,100,46,96
1.22,0.38,0.469,1.837,1.481,3.516,44,57,53,96
1.043,0.386,0.574,2.762,3.595,3.085,83,49,43,95
1.339,0.086,0.388,1.023,2.365,4.445,37,74,61,96
2.276,0.493,0.572,2.604,3.253,3.179,67,70,43,93
2.005,0.512,0.154,4.888,2.985,1.238,95,55,85,81
3.302,0.598,0.369,1.783,4.742,3.059,57,88,63,90
2.543,0.261,0.295,2.193,1.507,2.596,36,79,70,95
3.592,0.342,0.181,3.073,1.07,1.962,35,92,82,89
2.843,0.461,0.517,4.111,2.899,4.681,82,93,48,96
1.372,0.664,0.048,1.964,1.079,2.887,32,55,95,87
1.446,0.694,0.41,4.725,3.705,4.392,100,62,59,96
1.669,0.73,0.618,1.402,2.404,1.71,46,41,38,79
3.161,0.425,0.872,2.571,4.557,2.69,79,79,13,92
1.219,0.355,0.212,1.054,2.083,3.483,32,61,79,96
3.538,0.781,0.296,1.204,2.266,2.55,20,85,70,83
4.168,0.494,0.715,4.28,3.696,3.045,86,100,28,92
3.127,0.163,0.564,3.881,4.817,2.956,97,90,44,96
1.891,0.879,0.382,4.275,1.871,4.26,80,65,62,91
4.284,0.666,0.073,3.114,2.327,4.491,40,100,93,96
3.025,0.41,0.894,1.448,4.343,1.311,60,65,11,84
3.967,0.354,0.888,4.659,3.366,1.2,94,83,11,84
3.975,0.536,0.774,4.23,4.619,3.661,98,100,23,95
2.802,0.413,0.637,4.872,3.261,3.335,100,81,36,96
3.145,0.726,0.064,4.063,4.773,4.919,89,100,94,96
1.147,0.854,0.463,4.614,2.224,4.368,96,52,54,92
3.359,0.247,0.541,3.178,4.691,2.983,82,93,46,96
4.333,0.429,0.753,4.604,3.234,4.15,86,100,25,96
3.98,0.699,0.033,4.228,4.588,3.145,82,100,97,88
3.56,0.724,0.521,3.102,4.788,4.894,79,100,48,96
2.069,0.65,0.576,2.243,1.365,4.032,45,69,42,95
2.975,0.727,0.25,2.577,3.05,3.057,53,81,75,87
1.667,0.159,0.712,2.352,3.117,2.471,70,58,29,96
2.462,0.478,0.665,1.018,4.998,3.862,60,77,33,96
4.28,0.964,0.776,2.123,2.08,1.952,36,83,22,75
1.473,0.119,0.401,1.675,2.438,2.027,47,56,60,94
4.037,0.862,0.503,2.21,4.863,4.308,62,100,50,91
4.737,0.123,0.189,1.973,3.731,4.066,35,100,81,96
2.624,0.789,0.127,4.572,2.732,2.478,82,70,87,82
4.377,0.81,0.577,2.514,2.491,4.026,42,100,42,91
1.932,0.736,0.982,1.755,4.891,3.801,81,57,2,91
4.094,0.517,0.968,1.569,3.012,1.34,42,81,3,81
2.366,0.556,0.43,1.831,1.885,1.02,38,55,57,79
4.038,0.735,0.231,1.956,4.326,1.408,47,87,77,77
3.677,0.76,0.935,2.928,2.83,2.819,64,81,7,85
4.732,0.992,0.697,4.718,3.057,2.704,82,97,30,79
3.967,0.208,0.634,3.582,2.083,4.326,59,100,37,96
3.69,0.559,0.819,4.41,3.457,1.205,92,74,18,80
4.037,0.443,0.235,1.965,1.775,1.765,22,96,76,86
4.612,0.908,0.708,4.622,3.235,4.032,84,100,29,89
4.902,0.586,0.375,1.233,2.658,2.569,15,100,62,87
1.508,0.502,0.335,4.271,1.855,2.111,82,50,67,86
4.343,0.316,0.835,1.658,4.086,2.672,49,100,17,94
3.867,0.772,0.435,3.763,2.935,1.569,67,81,56,77
2.457,0.955,0.089,3.322,4.686,3.563,82,72,91,85
3.489,0.562,0.87,1.192,3.229,4.232,41,94,13,96
2.495,0.876,0.065,3.611,4.368,3.663,83,76,94,87
2.246,0.593,0.752,2.119,2.331,3.181,54,64,25,91
2.033,0.858,0.216,2.055,3.938,2.582,60,57,78,81
1.657,0.862,0.93,4.764,4.589,3.578,100,48,7,87
4.002,0.588,0.087,1.189,3.342,2.925,22,100,91,89
4.777,0.735,0.163,4.169,4.686,2.705,79,100,84,85
4.344,0.194,0.806,3.044,2.177,2.817,52,100,19,96
1.334,0.203,0.869,3.181,1.711,3.786,75,60,13,96
3.034,0.698,0.99,1.635,2.453,2.485,46,67,1,84
2.492,0.839,0.175,4.054,3.441,4.042,83,78,82,90
2.764,0.675,0.378,2.799,1.543,4.673,46,89,62,96
3.649,0.862,0.718,3.018,4.292,1.341,76,69,28,74
2.233,0.097,0.74,3.293,4.557,1.088,95,58,26,89
3.667,0.84,0.883,1.28,1.163,3.06,20,82,12,84
3.183,0.25,0.04,2.125,1.277,1.747,22,87,96,90
2.732,0.917,0.173,3.912,3.776,4.751,82,87,83,93
3.718,0.744,0.475,4.741,1.949,4.889,75,100,52,96
4.769,0.2,0.341,1.766,4.109,2.329,38,100,66,94
2.599,0.13,0.463,3.836,3.318,2.996,83,83,54,96
1.924,0.122,0.331,2.265,3.478,4.292,62,84,67,96
2.878,0.984,0.036,4.446,3.549,1.446,84,63,96,72
1.81,0.874,0.293,4.855,1.13,3.358,80,58,71,85
4.113,0.916,0.408,2.879,3.821,3.56,60,99,59,86
3.203,0.235,0.084,1.527,4.334,4.325,44,100,92,96
1.389,0.19,0.105,4.925,4.054,2.305,100,60,90,95
1.273,0.562,0.197,4.036,1.878,4.083,77,62,80,96
4.49,0.684,0.856,2.314,1.224,3.109,30,100,14,88
4.404,0.93,0.787,3.541,2.928,2.754,66,92,21,81
1.419,0.25,0.558,2.287,3.221,2.453,69,54,44,94
3.526,0.823,0.92,2.616,4.499,3.411,77,82,8,87
2.539,0.859,0.419,1.83,1.735,1.194,35,52,58,73
2.613,0.153,0.264,1.893,2.87,2.159,43,79,74,95
3.99,0.263,0.142,3.049,4.79,1.032,68,94,86,85
1.815,0.745,0.527,3.224,4.332,2.719,91,53,47,85
3.256,0.21,0.196,1.634,1.998,3.77,24,100,80,96
3.478,0.492,0.505,4.93,1.797,3.946,79,98,50,96
3.558,0.61,0.815,3.424,2.626,2.135,69,78,19,84
3.142,0.857,0.531,3.169,4.681,2.023,83,68,47,78
4.07,0.8,0.767,4.585,3.977,4.793,96,100,23,96
2.238,0.448,0.419,1.779,4.119,3.257,60,73,58,94
4.821,0.303,0.49,4.084,4.14,1.584,78,100,51,88
2.061,0.504,0.203,3.004,4.4,1.503,80,57,80,83
1.985,0.15,0.361,3.369,2.419,1.479,69,61,64,90
2.034,0.261,0.849,4.873,1.172,2.793,90,63,15,96
4.973,0.275,0.534,3.45,4.662,1.339,73,100,47,87
2.24,0.177,0.992,2.96,2.997,4.42,79,80,1,96
2.168,0.722,0.594,3.255,4.608,4.899,93,76,41,96
2.432,0.126,0.949,3.596,2.499,3.252,82,76,5,96
2.603,0.472,0.698,1.718,3.536,2.062,56,65,30,87
4.959,0.592,0.301,4.444,3.354,4.41,71,100,70,96
4.175,0.889,0.123,3.909,1.41,3.019,46,100,88,83
3.854,0.676,0.749,4.071,2.498,3.34,74,93,25,90
4.284,0.333,0.589,1.211,4.917,4.571,46,100,41,96
4.478,0.249,0.716,2.747,2.309,3.288,46,100,28,96
3.007,0.508,0.486,3.346,2.674,3.929,66,90,51,96
2.596,0.723,0.581,3.474,3.189,2.53,78,65,42,84
2.944,0.245,0.344,4.538,1.107,4.305,67,99,66,96
2.335,0.59,1.0,1.241,3.267,1.546,54,49,0,81
4.075,0.64,0.236,3.317,1.697,4.066,42,100,76,95
3.398,0.461,0.04,3.952,2.747,2.531,64,93,96,90
3.501,0.191,0.896,4.768,3.277,2.112,99,85,10,93
3.67,0.547,0.737,2.306,3.096,4.675,53,100,26,96
4.616,0.824,0.631,1.029,2.976,2.043,22,94,37,79
4.719,0.44,0.711,3.029,4.626,1.529,71,100,29,84
4.381,0.252,0.456,1.752,3.505,1.555,37,100,54,89
4.706,0.573,0.935,3.286,1.104,1.516,45,93,6,81
3.383,0.49,0.127,1.567,1.279,1.606,13,83,87,84
2.098,0.842,0.046,3.476,4.315,1.636,83,54,95,76
1.569,0.168,0.895,1.798,2.839,1.485,63,46,11,90
3.214,0.594,0.676,4.157,2.532,1.133,80,66,32,78
3.648,0.412,0.083,2.575,4.893,4.962,63,100,92,96
2.737,0.938,0.762,3.52,4.284,2.665,93,61,24,80
3.39,0.691,0.866,3.395,3.777,4.707,82,93,13,96
3.84,0.163,0.118,3.794,2.417,1.488,57,98,88,90
2.828,0.35,0.975,3.85,3.317,1.85,92,66,2,88
4.717,0.246,0.647,2.931,1.785,3.346,40,100,35,96
4.376,0.957,0.642,4.84,2.937,1.554,85,83,36,73
4.682,0.182,0.74,3.698,3.887,3.782,75,100,26,96
2.118,0.542,0.835,3.285,4.957,4.555,100,73,17,96
1.56,0.643,0.315,1.721,3.773,1.735,59,45,68,81
3.275,0.26,0.702,1.281,1.588,1.723,24,79,30,89
4.62,0.456,0.865,1.935,2.505,4.408,36,100,14,96
3.853,0.698,0.14,1.505,3.112,4.943,27,100,86,96
4.132,0.177,0.7,4.604,3.525,1.506,90,95,30,90
1.895,0.991,0.708,1.907,2.438,2.362,54,43,29,77
3.009,0.872,0.359,3.526,1.027,2.099,50,69,64,78
3.357,0.667,0.099,2.751,1.775,1.259,37,76,90,78
3.807,0.241,0.721,1.416,4.953,3.916,56,100,28,96
3.285,0.633,0.75,2.244,4.446,3.656,69,86,25,93
4.36,0.742,0.146,4.491,1.123,4.884,51,100,85,96
3.721,0.806,0.768,2.044,4.0,2.14,58,78,23,80
4.679,0.117,0.637,3.72,3.235,3.964,67,100,36,96
1.236,0.876,0.929,3.807,4.044,4.62,100,49,7,93
4.908,0.65,0.402,3.488,3.159,1.516,56,100,60,79
3.297,0.969,0.594,2.906,4.602,2.828,78,74,41,80
4.336,0.91,0.467,2.548,4.702,2.768,62,96,53,81
1.233,0.654,0.073,4.293,2.149,4.308,82,63,93,96
2.106,0.669,0.108,1.394,1.746,3.118,25,69,89,89
2.622,0.386,0.806,1.502,2.277,4.207,42,83,19,96
4.873,0.209,0.661,3.178,3.062,3.402,56,100,34,96
3.89,0.751,0.09,1.293,2.979,3.38,21,100,91,88
4.701,0.593,0.53,2.004,4.063,3.517,46,100,47,93
4.574,0.949,0.032,4.637,4.625,4.84,84,100,97,93
2.412,0.116,0.096,3.864,2.744,4.127,72,95,90,96
1.316,0.897,0.088,4.006,2.786,3.99,83,57,91,89
3.757,0.931,0.345,2.36,2.99,2.927,44,88,65,82
1.777,0.953,0.638,4.96,1.143,4.5,89,60,36,91
4.875,0.644,0.748,3.817,4.079,1.667,78,98,25,81
1.852,0.581,0.858,1.074,3.606,1.056,56,39,14,78
1.93,0.656,0.49,2.152,2.933,1.13,58,45,51,77
3.115,0.167,0.116,3.818,3.2,1.968,70,89,88,93
1.609,0.726,0.06,2.406,3.334,1.615,60,47,94,78
3.82,0.206,0.724,3.146,4.795,1.96,82,92,28,92
3.386,0.286,0.845,4.083,1.004,3.517,65,93,15,96
2.745,0.27,0.734,1.409,3.214,1.025,47,63,27,85
4.167,0.452,0.546,4.669,1.856,3.696,71,100,45,96
3.728,0.842,0.359,4.193,2.442,2.342,69,84,64,80
3.085,0.48,0.829,4.765,2.143,2.261,90,73,17,88
1.457,0.554,0.017,4.185,3.405,4.368,90,71,98,96
4.271,0.425,0.425,1.993,4.382,1.35,50,94,58,84
1.342,0.534,0.133,1.511,3.875,1.799,55,47,87,84
2.032,0.503,0.787,2.797,4.875,1.716,93,50,21,84
1.753,0.896,0.93,3.26,3.775,2.843,94,44,7,82
1.862,0.166,0.459,4.615,1.059,3.514,79,74,54,96
2.946,0.852,0.099,2.852,2.025,2.355,44,74,90,80
1.628,0.733,0.036,2.863,3.533,3.065,69,59,96,87
4.176,0.61,0.818,1.478,3.19,3.004,39,96,18,89
1.413,0.106,0.227,1.086,4.659,4.055,57,74,77,96
4.94,0.565,0.791,2.222,2.64,4.502,38,100,21,96
4.883,0.4,0.035,1.994,3.584,4.856,29,100,96,96
2.142,0.819,0.851,4.609,4.939,4.909,100,70,15,96
3.286,0.58,0.597,2.383,3.131,3.305,55,86,40,92
1.313,0.179,0.782,2.744,1.696,4.586,66,67,22,96
3.617,0.923,0.604,4.586,1.477,3.557,71,87,40,86
4.177,0.152,0.79,2.609,2.458,1.906,49,98,21,93
1.395,0.431,0.574,1.736,3.959,4.132,68,63,43,96
4.68,0.503,0.491,2.311,2.852,2.188,38,100,51,87
4.005,0.319,0.29,4.737,4.446,3.728,94,100,71,96
4.147,0.794,0.056,2.958,4.822,1.061,63,87,94,74
4.576,0.355,0.354,4.021,4.239,3.112,77,100,65,96
3.397,0.812,0.205,1.563,1.113,4.145,13,96,79,92
4.074,0.086,0.397,4.184,1.393,4.07,56,100,60,96
3.412,0.863,0.45,4.305,3.333,4.557,84,95,55,93
3.461,0.564,0.956,2.317,2.133,1.617,50,71,4,82
4.652,0.165,0.753,3.513,1.839,4.979,52,100,25,96
4.404,0.36,0.763,4.542,4.804,3.806,100,100,24,96
4.039,0.204,0.691,2.041,1.011,4.316,24,100,31,96
1.471,0.769,0.606,3.558,3.18,3.618,89,52,39,89
4.812,0.938,0.75,2.274,3.999,4.717,53,100,25,92
2.797,0.807,0.835,1.003,2.343,1.291,34,53,16,75
1.855,0.476,0.694,3.328,1.575,1.885,68,50,31,86
4.181,0.691,0.536,1.945,2.275,4.693,31,100,46,96
2.933,0.089,0.071,3.461,1.776,1.916,51,87,93,95
1.599,0.167,0.442,3.91,3.317,2.016,92,57,56,93
2.943,0.51,0.648,2.985,1.852,2.47,56,74,35,88
2.01,0.084,0.18,2.973,3.95,1.357,75,65,82,91
3.403,0.499,0.885,2.892,1.003,2.324,47,78,11,88
2.423,0.662,0.284,2.765,1.738,3.043,48,71,72,88
2.318,0.186,0.826,1.209,1.57,3.779,33,78,17,96
2.539,0.84,0.391,1.998,4.58,1.676,65,57,61,76
2.393,0.177,0.657,1.969,3.663,3.818,62,83,34,96
2.41,0.227,0.534,4.932,1.93,2.353,90,72,47,94
3.232,0.856,0.467,4.864,4.283,3.513,100,83,53,87
1.897,0.482,0.297,1.965,4.554,3.106,68,66,70,93
4.846,0.45,0.503,4.306,4.673,1.292,87,100,50,83
3.328,0.113,0.583,2.149,2.056,4.189,40,100,42,96
4.13,0.237,0.492,4.81,1.468,4.281,68,100,51,96
3.35,0.255,0.347,3.502,3.374,1.37,70,83,65,87
1.094,0.838,0.704,1.549,4.484,3.099,75,38,30,85
4.105,0.848,0.351,2.552,4.711,1.583,62,85,65,75
4.355,0.674,0.766,2.527,1.002,2.355,31,94,23,84
3.679,0.494,0.057,3.898,2.6,2.592,60,97,94,89
4.868,0.56,0.077,3.354,2.204,4.393,38,100,92,96
1.143,0.822,0.349,4.632,4.098,4.356,100,54,65,93
4.109,0.109,0.891,2.192,4.104,4.608,61,100,11,96
2.303,0.196,0.943,2.515,2.715,4.438,68,81,6,96
3.996,0.95,0.485,1.652,2.704,3.608,31,95,51,85
3.659,0.778,0.411,3.804,4.975,3.028,90,89,59,86
2.615,0.359,0.751,3.103,4.217,4.211,86,84,25,96
1.241,0.232,0.211,4.409,4.822,3.797,100,67,79,96
3.03,0.455,0.428,2.206,3.562,1.259,55,71,57,82
3.412,0.407,0.906,2.596,2.207,3.729,54,92,9,96
4.52,0.845,0.407,1.931,3.745,3.357,40,100,59,86
1.826,0.091,0.59,4.538,2.634,2.069,96,61,41,95
3.237,0.416,0.381,4.086,1.168,3.757,59,96,62,96
3.137,0.18,0.896,2.455,1.778,1.041,50,70,10,87
4.207,0.946,0.577,1.945,2.317,3.679,32,98,42,86
2.554,0.316,0.967,1.204,4.815,1.956,66,63,3,90
1.435,0.265,0.462,2.354,2.793,1.314,63,46,54,87
3.735,0.734,0.985,3.101,2.339,1.906,63,75,2,80
1.444,0.596,0.17,4.837,4.838,2.177,100,50,83,85
4.124,0.339,0.906,4.234,3.025,1.437,83,88,9,86
2.59,0.379,0.526,2.844,4.919,4.128,84,86,47,96
2.495,0.878,0.436,4.849,1.323,1.745,80,55,56,76
1.891,0.59,0.599,3.017,1.032,3.441,55,62,40,92
2.092,0.932,0.832,4.249,1.794,4.241,86,61,17,89
1.946,0.584,0.168,3.427,2.893,2.929,72,65,83,89
3.603,0.118,0.523,3.259,3.271,3.137,66,100,48,96
1.219,0.524,0.31,2.317,2.344,4.058,57,61,69,96
3.496,0.473,0.114,3.982,3.931,1.97,77,89,89,86
3.821,0.129,0.381,2.382,1.426,3.591,29,100,62,96
3.602,0.923,0.588,3.398,3.478,3.313,72,85,41,84
3.692,0.234,0.776,1.234,4.512,3.418,51,100,22,96
4.178,0.215,0.286,1.357,1.01,2.259,4,100,71,94
4.018,0.623,0.691,3.904,3.411,1.911,78,86,31,82
1.777,0.862,0.051,2.345,2.625,4.253,51,68,95,91
2.323,0.579,0.91,1.691,4.032,4.365,67,73,9,96
3.65,0.641,0.784,3.067,3.4,1.94,70,78,22,82
4.232,0.779,0.133,3.524,4.923,3.515,74,100,87,89
2.926,0.937,0.818,4.774,4.083,4.333,100,77,18,90
3.549,0.435,0.461,4.576,3.558,1.554,90,82,54,85
2.504,0.971,0.459,3.266,3.551,4.301,77,74,54,89
3.032,0.427,0.187,1.995,3.307,1.617,44,78,81,85
4.658,0.407,0.569,2.582,1.312,3.214,29,100,43,95
4.229,0.559,0.204,3.922,3.647,3.698,69,100,80,95
1.727,0.283,0.135,1.118,1.905,2.75,26,67,86,95
3.757,0.939,0.599,2.68,3.3,2.925,58,84,40,81
1.598,0.788,0.902,3.771,4.283,2.914,100,44,10,85
3.534,0.701,0.126,3.494,3.988,4.973,70,100,87,96
2.669,0.769,0.517,1.207,2.636,4.287,35,80,48,93
2.12,0.47,0.023,3.435,4.404,2.485,83,69,98,89
4.198,0.318,0.906,4.866,3.163,1.849,94,93,9,89
1.632,0.427,0.468,1.539,3.224,2.107,53,52,53,88
3.445,0.448,0.147,2.951,4.819,4.079,71,100,85,96
4.436,0.567,0.854,3.947,1.571,4.814,60,100,15,96
1.832,0.826,0.643,2.767,4.981,3.452,92,55,36,87
4.78,0.584,0.666,1.149,2.88,1.838,22,100,33,83
4.697,0.104,0.443,2.26,2.217,4.458,30,100,56,96
4.334,0.829,0.146,3.243,4.079,4.602,61,100,85,94
3.246,0.364,0.76,1.784,3.956,1.169,57,71,24,84
4.034,0.222,0.298,3.003,4.346,1.819,65,100,70,91
2.658,0.275,0.177,2.335,3.738,1.14,57,70,82,86
4.357,0.275,0.245,3.873,1.759,1.757,50,100,76,89
2.75,0.805,0.681,2.902,1.572,1.225,54,54,32,74
4.098,0.681,0.632,2.355,4.056,4.997,58,100,37,96
4.801,0.912,0.453,3.312,2.603,3.454,50,100,55,85
4.347,0.57,0.316,2.795,2.424,1.643,40,96,68,82
1.779,0.482,0.318,4.274,4.009,3.222,100,65,68,93
2.7,0.901,0.904,4.031,1.892,3.699,80,68,10,87
1.697,0.464,0.781,3.842,1.508,3.004,79,55,22,93
2.251,0.539,0.589,4.013,3.997,1.518,98,55,41,82
1.137,0.525,0.781,3.81,3.922,2.754,100,42,22,90
1.71,0.084,1.0,1.895,4.339,2.54,80,57,0,96
2.793,0.613,0.951,1.893,1.566,1.78,43,60,5,82
1.236,0.819,0.861,1.378,4.196,3.76,71,44,14,89
1.844,0.286,0.352,2.108,3.097,3.502,57,72,65,96
4.917,0.596,0.121,2.048,1.321,2.934,9,100,88,89
3.491,0.437,0.547,2.69,4.612,2.572,72,88,45,91
4.727,0.299,0.197,1.646,4.741,2.377,40,100,80,93
1.568,0.653,0.907,3.394,2.808,2.103,88,40,9,83
